Town,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Date Updated
Washington,No,3428,2637,76.93,2464,71.88,08/04/2021
Waterbury,Yes,107568,54525,50.69,48953,45.51,08/04/2021
Waterford,Yes,18746,13240,70.63,12625,67.35,08/04/2021
Watertown,No,21578,14031,65.02,13219,61.26,08/04/2021
West Hartford,Yes,62965,48282,76.68,45594,72.41,08/04/2021
West Haven,Yes,54620,32546,59.59,30238,55.36,08/04/2021
Westbrook,No,6869,4913,71.52,4659,67.83,08/04/2021
Weston,No,10252,7521,73.36,7093,69.19,08/04/2021
Westport,No,28491,20587,72.26,19314,67.79,08/04/2021
Wethersfield,No,26008,19140,73.59,18207,70.01,08/04/2021
Willington,No,5864,3357,57.25,3192,54.43,08/04/2021
Wilton,No,18343,13920,75.89,13073,71.27,08/04/2021
Winchester,Yes,10604,5953,56.14,5531,52.16,08/04/2021
Windham,Yes,24561,12570,51.18,11657,47.46,08/04/2021
Windsor,No,28733,19626,68.3,18356,63.88,08/04/2021
Windsor Locks,Yes,12854,7883,61.33,7421,57.73,08/04/2021
Wolcott,No,16587,10239,61.73,9663,58.26,08/04/2021
Woodbridge,No,8750,6636,75.84,6337,72.42,08/04/2021
Woodbury,No,9502,6432,67.69,6135,64.57,08/04/2021
Woodstock,No,7858,4689,59.67,4450,56.63,08/04/2021
Address pending validation,,,16233,,14920,,08/12/2021
Andover,No,3236,2105,65.05,2003,61.9,08/12/2021
Ansonia,Yes,18654,10245,54.92,9239,49.53,08/12/2021
Ashford,No,4255,2601,61.13,2488,58.47,08/12/2021
Avon,No,18276,14510,79.39,13721,75.08,08/12/2021
Barkhamsted,No,3606,2375,65.86,2256,62.56,08/12/2021
Beacon Falls,No,6222,3865,62.12,3646,58.6,08/12/2021
Berlin,No,20436,13803,67.54,13140,64.3,08/12/2021
Bethany,No,5548,3753,67.65,3571,64.37,08/12/2021
Bethel,No,19800,12494,63.1,11521,58.19,08/12/2021
Bethlehem,No,3402,2104,61.85,1972,57.97,08/12/2021
Bloomfield,No,21211,14744,69.51,13469,63.5,08/12/2021
Bolton,No,4884,3288,67.32,3122,63.92,08/12/2021
Bozrah,No,2726,1556,57.08,1483,54.4,08/12/2021
Branford,No,27900,20314,72.81,19220,68.89,08/12/2021
Bridgeport,Yes,144399,75569,52.33,66239,45.87,08/12/2021
Bridgewater,No,1635,1219,74.56,1160,70.95,08/12/2021
Bristol,Yes,59947,38028,63.44,35011,58.4,08/12/2021
Brookfield,No,16973,11908,70.16,11118,65.5,08/12/2021
Brooklyn,No,8272,4481,54.17,4144,50.1,08/12/2021
Burlington,No,9704,6579,67.8,6243,64.33,08/12/2021
Canaan,No,1053,1073,100,1004,95.35,08/12/2021
Canterbury,No,5079,2790,54.93,2619,51.57,08/12/2021
Canton,No,10254,7147,69.7,6811,66.42,08/12/2021
Chaplin,No,2239,1267,56.59,1179,52.66,08/12/2021
Cheshire,No,28937,21216,73.32,20155,69.65,08/12/2021
Chester,No,4213,2938,69.74,2786,66.13,08/12/2021
