Town,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Date Updated
Harwinton,No,5420,3545,65.41,3348,61.77,08/18/2021
Hebron,No,9504,6507,68.47,6180,65.03,08/18/2021
Kent,No,2777,2301,82.86,2121,76.38,08/18/2021
Killingly,Yes,17336,9063,52.28,8442,48.7,08/18/2021
Killingworth,No,6364,4512,70.9,4299,67.55,08/18/2021
Lebanon,No,7144,4511,63.14,4276,59.85,08/18/2021
Ledyard,No,14621,9159,62.64,8645,59.13,08/18/2021
Lisbon,No,4220,2524,59.81,2371,56.18,08/18/2021
Litchfield,No,8094,5686,70.25,5280,65.23,08/18/2021
Lyme,No,2316,1934,83.51,1862,80.4,08/18/2021
Madison,No,18030,14032,77.83,13355,74.07,08/18/2021
Manchester,Yes,57584,36989,64.23,34116,59.25,08/18/2021
Mansfield,No,25487,9231,36.22,8709,34.17,08/18/2021
Marlborough,No,6335,4364,68.89,4150,65.51,08/18/2021
Meriden,Yes,59395,37151,62.55,33836,56.97,08/18/2021
Middlebury,No,7798,5536,70.99,5236,67.15,08/18/2021
Middlefield,No,4374,2989,68.34,2841,64.95,08/18/2021
Middletown,Yes,46258,32724,70.74,30370,65.65,08/18/2021
Milford,Yes,54747,37016,67.61,35071,64.06,08/18/2021
Monroe,No,19434,13359,68.74,12493,64.28,08/18/2021
Montville,Yes,18508,10759,58.13,10047,54.28,08/18/2021
Morris,No,2254,1440,63.89,1344,59.63,08/18/2021
Naugatuck,No,31108,18629,59.88,17064,54.85,08/18/2021
New Britain,Yes,72495,37261,51.4,33510,46.22,08/18/2021
New Canaan,No,20233,15602,77.11,14290,70.63,08/18/2021
New Fairfield,No,13878,8839,63.69,8233,59.32,08/18/2021
New Hartford,No,6656,4389,65.94,4162,62.53,08/18/2021
New Haven,Yes,130250,75159,57.7,67669,51.95,08/18/2021
New London,Yes,26858,15287,56.92,13846,51.55,08/18/2021
New Milford,No,26805,18791,70.1,17500,65.29,08/18/2021
Newington,No,30014,21411,71.34,20239,67.43,08/18/2021
Newtown,No,27891,19649,70.45,18452,66.16,08/18/2021
Norfolk,No,1630,1058,64.91,992,60.86,08/18/2021
North Branford,No,14146,10142,71.7,9596,67.84,08/18/2021
North Canaan,No,3251,1858,57.15,1704,52.41,08/18/2021
North Haven,No,23683,18745,79.15,17689,74.69,08/18/2021
North Stonington,No,5196,2979,57.33,2836,54.58,08/18/2021
Norwalk,Yes,88816,62916,70.84,56922,64.09,08/18/2021
Norwich,Yes,38768,22387,57.75,20525,52.94,08/18/2021
Old Lyme,No,7306,5521,75.57,5245,71.79,08/18/2021
Old Saybrook,No,10061,8380,83.29,7928,78.8,08/18/2021
Orange,Yes,13926,10020,71.95,9493,68.17,08/18/2021
Oxford,No,13255,8695,65.6,8179,61.71,08/18/2021
Plainfield,Yes,15125,7812,51.65,7243,47.89,08/18/2021
Plainville,No,17534,11266,64.25,10502,59.9,08/18/2021
Plymouth,No,11598,6353,54.78,5911,50.97,08/18/2021
Pomfret,No,4203,2641,62.84,2466,58.67,08/18/2021
Portland,No,9267,6566,70.85,6168,66.56,08/18/2021
Preston,No,4625,2846,61.54,2694,58.25,08/18/2021
Prospect,No,9702,6286,64.79,5935,61.17,08/18/2021
Putnam,No,9389,5019,53.46,4675,49.79,08/18/2021
Redding,No,9116,6000,65.82,5676,62.26,08/18/2021
Resident out of state,,,73984,,59246,,08/18/2021
Ridgefield,No,24959,18228,73.03,17180,68.83,08/18/2021
Rocky Hill,No,20115,14595,72.56,13791,68.56,08/18/2021
Roxbury,No,2152,1662,77.23,1551,72.07,08/18/2021
Salem,No,4083,2613,64,2446,59.91,08/18/2021
Salisbury,No,3600,3204,89,3012,83.67,08/18/2021
Scotland,No,1672,895,53.53,839,50.18,08/18/2021
Seymour,No,16437,10443,63.53,9619,58.52,08/18/2021
Sharon,No,2689,1805,67.13,1675,62.29,08/18/2021
Shelton,No,41129,27725,67.41,25828,62.8,08/18/2021
Sherman,No,3630,2270,62.53,2135,58.82,08/18/2021
Simsbury,No,25395,18822,74.12,17824,70.19,08/18/2021
Somers,No,10784,6334,58.74,5936,55.04,08/18/2021
South Windsor,No,26162,19477,74.45,18470,70.6,08/18/2021
Southbury,No,19571,14270,72.91,13478,68.87,08/18/2021
Southington,No,43834,30435,69.43,28918,65.97,08/18/2021
Sprague,No,2859,1550,54.21,1440,50.37,08/18/2021
Stafford,No,11893,6365,53.52,5963,50.14,08/18/2021
Stamford,Yes,129638,95508,73.67,84938,65.52,08/18/2021
Sterling,No,3782,1666,44.05,1534,40.56,08/18/2021
Stonington,No,18559,12766,68.79,12173,65.59,08/18/2021
Stratford,No,51849,32594,62.86,30002,57.86,08/18/2021
Suffield,No,15814,10152,64.2,9377,59.3,08/18/2021
Thomaston,No,7535,4546,60.33,4276,56.75,08/18/2021
Thompson,No,9379,4236,45.16,3963,42.25,08/18/2021
Tolland,No,14618,10146,69.41,9674,66.18,08/18/2021
Torrington,Yes,34044,21598,63.44,19982,58.69,08/18/2021
Trumbull,No,35673,26449,74.14,24747,69.37,08/18/2021
Union,No,839,504,60.07,478,56.97,08/18/2021
Vernon,Yes,29359,19725,67.19,18419,62.74,08/18/2021
Voluntown,No,2510,1456,58.01,1372,54.66,08/18/2021
Wallingford,No,44326,31626,71.35,29807,67.24,08/18/2021
Warren,No,1395,948,67.96,895,64.16,08/18/2021
Washington,No,3428,2696,78.65,2487,72.55,08/18/2021
Waterbury,Yes,107568,57201,53.18,50526,46.97,08/18/2021
Waterford,Yes,18746,13472,71.87,12759,68.06,08/18/2021
Watertown,No,21578,14365,66.57,13436,62.27,08/18/2021
West Hartford,Yes,62965,49085,77.96,46112,73.23,08/18/2021
West Haven,Yes,54620,33778,61.84,30973,56.71,08/18/2021
Westbrook,No,6869,5015,73.01,4697,68.38,08/18/2021
Weston,No,10252,7614,74.27,7161,69.85,08/18/2021
Westport,No,28491,20858,73.21,19496,68.43,08/18/2021
Wethersfield,No,26008,19538,75.12,18450,70.94,08/18/2021
Willington,No,5864,3415,58.24,3229,55.06,08/18/2021
Wilton,No,18343,14082,76.77,13209,72.01,08/18/2021
Winchester,Yes,10604,6115,57.67,5639,53.18,08/18/2021
Windham,Yes,24561,13027,53.04,11939,48.61,08/18/2021
Windsor,No,28733,20180,70.23,18669,64.97,08/18/2021
Windsor Locks,Yes,12854,8064,62.74,7530,58.58,08/18/2021
Wolcott,No,16587,10470,63.12,9781,58.97,08/18/2021
Woodbridge,No,8750,6745,77.09,6394,73.07,08/18/2021
Woodbury,No,9502,6547,68.9,6207,65.32,08/18/2021
Woodstock,No,7858,4787,60.92,4503,57.3,08/18/2021
